P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
154011,160858,146988,41112,139686,130044,141279,31447,140695,83350,152374,151106,147747,31420
154050,160902,147009,40730,139644,128335,141268,31354,140711,81177,152387,151307,147766,31862
154077,160908,147013,40290,139585,126587,141269,31347,140741,78988,152391,151448,147793,32354
154113,160922,147018,39994,139547,124853,141272,31346,140811,76705,152408,151519,147838,32915
154110,160912,147039,39767,139604,123117,141305,31363,140831,74478,152432,151649,147851,33492
154116,160883,147087,39628,139555,121325,141352,31451,140918,72291,152426,151705,147844,34111
154100,160850,147150,39531,139506,119544,141404,31585,140995,70130,152396,151785,147804,34715
154085,160822,147166,39448,139363,117736,141445,31768,141076,68183,152415,151830,147766,35493
154079,160807,147188,39396,139338,115911,141475,31948,141201,66190,152400,151825,147740,36149
154066,160804,147182,39425,139323,113987,141530,32181,141302,64099,152386,151870,147784,36610
154067,160816,147140,39524,139336,112139,141561,32464,141434,62068,152401,152034,147675,37244
154072,160829,147087,39693,139336,110329,141659,32746,141596,60082,152417,152152,147624,37868
154073,160844,147015,39910,139335,108495,141607,33071,141760,58193,152396,152210,147579,38524
154072,160864,146906,40139,139332,106615,141633,33404,141931,56340,152384,152301,147531,39155
154088,160878,146783,40597,139316,104782,141686,33774,142113,54593,152374,152374,147482,39817
154105,160882,146678,40995,139327,102890,141723,34205,142316,52870,152365,152488,147525,40442
154113,160881,146595,41416,139354,101049,141830,34704,142548,51211,152371,152598,147493,41193
154084,160854,146487,41922,139363,99207,141767,35203,142802,49613,152381,152601,147464,41864
154031,160820,146393,42392,139372,97453,141751,35834,143077,48090,152401,152640,147443,42615
153985,160767,146293,42900,139381,95800,141806,36468,143364,46587,152430,152621,147468,43277
153877,160703,146218,43369,139379,93969,141795,37439,143603,45199,152446,152681,147501,43985
153770,160619,146148,43944,139381,92271,141781,37991,143822,43872,152463,152729,147535,44836
153621,160526,146079,44600,139372,90722,141786,38770,143988,42592,152480,152782,147578,45545
153449,160410,146008,45231,139388,89096,141796,39873,144178,41371,152498,152884,147622,46270
153311,160289,145960,45921,139370,87535,141801,40816,144315,40265,152486,152971,147649,47047
153209,160208,145912,46666,139378,85991,141870,41700,144476,39192,152513,153109,147683,47860
153127,160176,145870,47469,139391,84583,141883,42722,144608,38214,152542,153232,147724,48675
153106,160164,145836,48312,139472,83073,141917,43749,144754,37334,152516,153410,147770,49494
153105,160170,145857,49262,139427,81579,141938,44785,144959,36488,152490,153602,147826,50349
153170,160188,145914,50175,139374,79892,141942,45924,145080,35681,152472,153757,147911,51283
153274,160243,146008,51338,139424,78426,141945,47155,145156,34928,152457,153991,147966,52256
153419,160287,146087,52408,139473,76937,141928,48431,145229,34339,152453,154215,148040,53198
153575,160331,146174,53445,139523,75500,141906,49764,145227,33790,152475,154389,148138,54180
153745,160347,146288,54717,139557,74110,141894,51173,145207,33358,152420,154603,148209,55197
153924,160365,146365,55960,139571,72751,141879,52553,145146,32992,152414,154877,148278,56207
154075,160371,146471,57240,139653,71274,141850,53961,145089,32751,152434,155178,148331,57157
154167,160346,146613,58375,139684,69905,141829,55411,145021,32606,152451,155433,148388,58215
154244,160331,146717,59690,139667,68493,141825,56805,144957,32518,152435,155621,148426,59241
154297,160301,146872,61052,139648,67145,141811,58276,144919,32518,152427,155840,148463,60314
154310,160303,147010,62548,139606,65833,141807,59737,144873,32626,152429,156089,148492,61335
154319,160281,147151,63931,139560,64409,141825,61229,144831,32858,152404,156313,148543,62509
154297,160297,147255,65386,139539,62995,141825,62690,144816,33185,152375,156544,148550,63669
154307,160304,147332,66824,139498,61591,141838,64194,144802,33596,152386,156819,148562,64711
154316,160350,147443,68276,139431,60202,141822,65778,144718,34114,152369,157175,148594,65760
154302,160390,147585,69727,139392,58818,141807,67301,144758,34741,152326,157575,148610,66793
154300,160418,147721,71113,139348,57384,141790,68756,144743,35450,152304,157965,148608,67718
154285,160434,147806,72554,139329,55965,141796,70113,144797,36274,152314,158298,148607,68736
154255,160433,147944,73917,139298,54562,141792,71535,144850,37170,152278,158632,148604,69777
154208,160391,148078,75237,139288,53165,141773,72929,144866,38131,152257,158975,148579,70825
154161,160365,148180,76569,139282,51782,141759,74330,144889,39245,152236,159221,148532,71904
154110,160320,148269,77902,139266,50372,141765,75681,144907,40470,152210,159514,148497,72947
154037,160301,148312,79249,139280,49003,141771,77111,144864,41776,152180,159822,148462,74018
153979,160284,148326,80619,139302,47632,141774,78540,144847,43276,152209,160034,148450,75059
153917,160289,148374,81983,139278,46258,141744,79907,144796,44853,152183,160236,148375,76096
153883,160326,148386,83404,139284,44922,141772,81308,144767,46495,152198,160378,148358,77122
